id	parlamentarier_id	kommission_id	funktion	parlament_committee_function	parlament_committee_function_name	von	bis	freigabe_datum
27	11	1	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
30	12	20	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
32	14	1	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
34	15	13	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
35	15	1	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
97	34	47	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
106	36	49	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
114	38	47	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
115	38	53	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
119	238	54	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
120	238	53	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
121	238	18	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
125	51	3	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
134	122	3	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
141	180	3	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
147	212	3	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
164	39	17	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
166	75	17	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
168	89	17	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
173	142	17	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
180	161	17	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
199	67	9	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
204	117	9	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
205	127	9	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
211	167	9	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
218	210	9	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
236	83	7	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
237	88	7	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
267	65	5	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
268	85	5	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
276	120	5	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
286	170	5	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
289	212	5	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
305	53	11	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
306	55	11	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
317	250	11	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
322	178	11	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
329	223	52	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
331	227	52	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
343	98	13	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
348	144	13	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
351	166	13	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
353	182	13	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
355	195	13	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
360	223	53	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
370	83	15	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
379	158	15	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
380	172	15	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
396	230	54	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
398	235	54	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
408	99	19	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
410	104	19	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
411	108	19	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
421	190	19	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
433	230	56	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
437	246	56	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
444	75	27	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
455	195	27	"mitglied"	1	"Mitglied"			2015-06-20T00:00:00
477	158	21	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
486	190	21	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
495	170	18	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
584	89	31	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
589	172	31	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
610	60	30	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
611	89	30	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
617	60	39	"mitglied"	9	"Stimmenzähler/in"			2015-06-20T00:00:00
620	103	39	"mitglied"	9	"Stimmenzähler/in"			2015-06-20T00:00:00
626	147	39	"mitglied"	11	"Fraktionspräsident/in"			2015-06-20T00:00:00
638	41	11	"mitglied"	1	"Mitglied"			2015-06-19T12:40:36
714	88	39	"mitglied"	10	"Ersatzstimmenzähler/in"	2015-11-30		2015-11-30T00:00:00
718	159	39	"mitglied"	11	"Fraktionspräsident/in"	2015-11-30		2015-11-30T00:00:00
729	57	19	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
730	269	19	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
735	127	19	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
741	305	19	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
746	6	27	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
747	80	27	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
751	287	27	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
754	297	27	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
760	264	17	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
764	276	17	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
766	291	17	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
767	158	17	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
768	248	17	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
771	310	17	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
776	279	9	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
789	80	1	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
791	110	1	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
793	117	1	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
795	302	1	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
797	289	3	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
800	300	3	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
807	120	7	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
812	304	7	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
814	312	7	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
818	268	5	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
826	167	5	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
828	182	5	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
829	44	11	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
832	101	11	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
833	132	11	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
836	294	11	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
839	21	11	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
840	251	11	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
841	261	13	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
843	265	13	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
845	270	13	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
851	147	13	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
855	306	13	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
856	211	13	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
858	264	15	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
862	93	15	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
869	308	15	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
873	316	56	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
886	125	55	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
889	238	55	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
898	219	47	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
899	315	47	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
907	318	48	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
908	160	48	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
909	319	48	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
911	246	48	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
915	86	50	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
918	34	50	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
919	321	50	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
924	228	49	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
929	160	52	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
931	246	52	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
939	66	54	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
941	223	54	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
944	242	54	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
957	153	20	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
971	235	18	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
980	227	42	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
990	227	37	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
1009	174	62	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
1021	53	21	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
1025	11	21	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
1027	137	21	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
1028	319	21	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
1033	315	41	"mitglied"	1	"Mitglied"	2015-12-19		2015-12-19T00:00:00
1038	6	60	"mitglied"	12	"Stellvertreter/in"	2015-12-19		2015-12-19T00:00:00
1064	63	62	"mitglied"	12	"Stellvertreter/in"	2016-01-11		2016-01-11T00:00:00
1069	298	62	"mitglied"	12	"Stellvertreter/in"	2016-01-11		2016-01-11T00:00:00
1081	299	3	"mitglied"	1	"Mitglied"	2016-02-15		2016-02-15T00:00:00
1085	291	32	"mitglied"	1	"Mitglied"	2016-02-15		2016-02-15T00:00:00
1116	170	44	"mitglied"	12	"Stellvertreter/in"	2016-03-21		2016-03-21T00:00:00
1126	99	7	"mitglied"	1	"Mitglied"	2016-09-03		2016-09-03T00:00:00
1140	315	49	"mitglied"	1	"Mitglied"	2016-12-24		2016-12-24T00:00:00
1141	187	19	"mitglied"	1	"Mitglied"	2017-02-28		2017-02-28T00:00:00
1156	256	19	"mitglied"	1	"Mitglied"	2017-09-15		2017-09-15T00:00:00
1160	41	39	"mitglied"	11	"Fraktionspräsident/in"	2017-11-24		2017-11-24T00:00:00
1161	251	39	"mitglied"	11	"Fraktionspräsident/in"	2017-11-24		2017-11-24T00:00:00
1166	110	19	"mitglied"	1	"Mitglied"	2017-12-01		2017-12-01T00:00:00
1169	298	19	"mitglied"	1	"Mitglied"	2017-12-01		2017-12-01T00:00:00
1171	116	27	"mitglied"	1	"Mitglied"	2017-12-01		2017-12-01T00:00:00
1174	60	17	"mitglied"	1	"Mitglied"	2017-12-01		2017-12-01T00:00:00
1180	41	1	"mitglied"	1	"Mitglied"	2017-12-01		2017-12-01T00:00:00
1183	297	1	"mitglied"	1	"Mitglied"	2017-12-01		2017-12-01T00:00:00
1186	153	3	"mitglied"	1	"Mitglied"	2017-12-01		2017-12-01T00:00:00
1216	38	57	"mitglied"	1	"Mitglied"	2017-12-01		2017-12-01T00:00:00
1218	235	55	"mitglied"	1	"Mitglied"	2017-12-01		2017-12-01T00:00:00
1221	228	51	"mitglied"	1	"Mitglied"	2017-12-01		2017-12-01T00:00:00
1233	86	49	"mitglied"	1	"Mitglied"	2017-12-01		2017-12-01T00:00:00
1237	242	52	"mitglied"	1	"Mitglied"	2017-12-01		2017-12-01T00:00:00
1254	166	60	"mitglied"	1	"Mitglied"	2017-12-01		2017-12-01T00:00:00
1256	327	17	"mitglied"	1	"Mitglied"	2017-12-01		2017-12-01T00:00:00
1258	326	7	"mitglied"	1	"Mitglied"	2017-12-01		2017-12-01T00:00:00
1263	310	38	"mitglied"	1	"Mitglied"	2017-12-08		2017-12-08T00:00:00
1283	41	37	"mitglied"	1	"Mitglied"	2018-01-12		2018-01-12T00:00:00
1287	235	62	"mitglied"	1	"Mitglied"	2018-01-19		2018-01-19T00:00:00
1296	183	11	"mitglied"	1	"Mitglied"	2018-03-16		2018-03-16T00:00:00
1297	264	21	"mitglied"	1	"Mitglied"	2018-03-16		2018-03-16T00:00:00
1298	334	27	"mitglied"	1	"Mitglied"	2018-03-16		2018-03-16T00:00:00
1299	332	17	"mitglied"	1	"Mitglied"	2018-03-16		2018-03-16T00:00:00
1306	40	5	"mitglied"	1	"Mitglied"	2018-06-01		2018-06-01T00:00:00
1309	293	15	"mitglied"	1	"Mitglied"	2018-06-01		2018-06-01T00:00:00
1313	331	1	"mitglied"	1	"Mitglied"	2018-06-15		2018-06-15T00:00:00
1314	337	9	"mitglied"	1	"Mitglied"	2018-06-15		2018-06-15T00:00:00
1321	15	59	"mitglied"	1	"Mitglied"	2018-11-16		2018-11-16T00:00:00
1334	34	45	"mitglied"	1	"Mitglied"	2018-12-01		2018-12-01T00:00:00
1336	34	59	"mitglied"	1	"Mitglied"	2018-12-01		2018-12-01T00:00:00
1337	38	59	"mitglied"	1	"Mitglied"	2018-12-01		2018-12-01T00:00:00
1342	49	11	"mitglied"	1	"Mitglied"	2018-12-14		2018-12-14T00:00:00
1343	187	21	"mitglied"	1	"Mitglied"	2018-12-14		2018-12-14T00:00:00
1346	339	13	"mitglied"	1	"Mitglied"	2018-12-14		2018-12-14T00:00:00
1359	328	9	"mitglied"	1	"Mitglied"	2019-01-11		2019-01-11T00:00:00
1360	277	11	"mitglied"	1	"Mitglied"	2019-01-11		2019-01-11T00:00:00
1369	88	41	"mitglied"	1	"Mitglied"	2019-03-03		2019-03-03T00:00:00
1373	340	15	"mitglied"	1	"Mitglied"	2019-03-09		2019-03-09T00:00:00
1374	341	3	"mitglied"	1	"Mitglied"	2019-04-02		2019-04-02T00:00:00
1380	305	5	"mitglied"	1	"Mitglied"	2019-06-07		2019-06-07T00:00:00
1381	280	60	"mitglied"	1	"Mitglied"	2019-06-07		2019-06-07T00:00:00
1382	344	1	"mitglied"	1	"Mitglied"	2019-06-07		2019-06-07T00:00:00
1384	76	57	"mitglied"	1	"Mitglied"	2019-06-21		2019-06-21T00:00:00
1385	319	55	"mitglied"	1	"Mitglied"	2019-06-21		2019-06-21T00:00:00
1387	228	47	"mitglied"	1	"Mitglied"	2019-06-21		2019-06-21T00:00:00
1388	317	47	"mitglied"	1	"Mitglied"	2019-06-21		2019-06-21T00:00:00
1389	219	48	"mitglied"	1	"Mitglied"	2019-06-21		2019-06-21T00:00:00
1391	316	52	"mitglied"	1	"Mitglied"	2019-06-21		2019-06-21T00:00:00
1392	76	53	"mitglied"	1	"Mitglied"	2019-06-21		2019-06-21T00:00:00
1393	41	21	"mitglied"	1	"Mitglied"	2019-06-21		2019-06-21T00:00:00
1394	340	60	"mitglied"	12	"Stellvertreter/in"	2019-09-02		2019-09-02T00:00:00
1396	371	39	"mitglied"	10	"Ersatzstimmenzähler/in"	2019-12-02		2019-12-02T00:00:00
1397	269	39	"mitglied"	9	"Stimmenzähler/in"	2019-12-02		2019-12-02T00:00:00
1398	75	39	"mitglied"	10	"Ersatzstimmenzähler/in"	2019-12-02		2019-12-02T00:00:00
1400	337	39	"mitglied"	10	"Ersatzstimmenzähler/in"	2019-12-02		2019-12-02T00:00:00
1402	331	39	"mitglied"	9	"Stimmenzähler/in"	2019-12-02		2019-12-02T00:00:00
1410	39	45	"mitglied"	1	"Mitglied"	2019-12-02		2019-12-02T00:00:00
1411	230	45	"mitglied"	1	"Mitglied"	2019-12-02		2019-12-02T00:00:00
1412	329	45	"mitglied"	1	"Mitglied"	2019-12-02		2019-12-02T00:00:00
1415	39	59	"mitglied"	1	"Mitglied"	2019-12-02		2019-12-02T00:00:00
1416	230	59	"mitglied"	1	"Mitglied"	2019-12-02		2019-12-02T00:00:00
1417	329	59	"mitglied"	1	"Mitglied"	2019-12-02		2019-12-02T00:00:00
1419	371	19	"mitglied"	1	"Mitglied"	2019-12-16		2019-12-16T00:00:00
1420	355	19	"mitglied"	1	"Mitglied"	2019-12-16		2019-12-16T00:00:00
1421	389	19	"mitglied"	1	"Mitglied"	2019-12-16		2019-12-16T00:00:00
1422	393	19	"mitglied"	1	"Mitglied"	2019-12-16		2019-12-16T00:00:00
1424	82	19	"vizepraesident"	6	"Vizepräsident/in"	2019-12-16		2019-12-16T00:00:00
1425	89	19	"mitglied"	1	"Mitglied"	2019-12-16		2019-12-16T00:00:00
1426	391	19	"mitglied"	1	"Mitglied"	2019-12-16		2019-12-16T00:00:00
1427	407	19	"mitglied"	1	"Mitglied"	2019-12-16		2019-12-16T00:00:00
1429	354	19	"mitglied"	1	"Mitglied"	2019-12-16		2019-12-16T00:00:00
1430	366	19	"mitglied"	1	"Mitglied"	2019-12-16		2019-12-16T00:00:00
1431	265	27	"mitglied"	1	"Mitglied"	2019-12-16		2019-12-16T00:00:00
1432	364	27	"mitglied"	1	"Mitglied"	2019-12-16		2019-12-16T00:00:00
1433	55	27	"vizepraesident"	6	"Vizepräsident/in"	2019-12-16		2019-12-16T00:00:00
1434	369	27	"mitglied"	1	"Mitglied"	2019-12-16		2019-12-16T00:00:00
